Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
198,University of Erlangen-Nuremberg,https://www.timeshighereducation.com/world-university-rankings/university-erlangen-nuremberg,Germany,38052,57.3,0.12,49 : 51,2021
200,University of Calgary,https://www.timeshighereducation.com/world-university-rankings/university-calgary,Canada,31863,17.6,0.21,54 : 46,2021
200,University of East Anglia,https://www.timeshighereducation.com/world-university-rankings/university-east-anglia,United Kingdom,15757,13.8,0.27,59 : 41,2021
200,Queen’s University Belfast,https://www.timeshighereducation.com/world-university-rankings/queens-university-belfast,United Kingdom,18438,17.2,0.36,56 : 44,2021
201–250,Aalborg University,https://www.timeshighereducation.com/world-university-rankings/aalborg-university,Denmark,16227,13.4,0.14,n/a,2021
201–250,Aalto University,https://www.timeshighereducation.com/world-university-rankings/aalto-university,Finland,12506,18.6,0.24,37 : 63,2021
201–250,University of Bath,https://www.timeshighereducation.com/world-university-rankings/university-bath,United Kingdom,14410,16.2,0.33,46 : 54,2021
201–250,University of Bergen,https://www.timeshighereducation.com/world-university-rankings/university-bergen,Norway,14297,12.4,0.13,60 : 40,2021
201–250,Brandeis University,https://www.timeshighereducation.com/world-university-rankings/brandeis-university,United States,5346,12.7,0.27,58 : 42,2021
201–250,"University of California, Santa Cruz",https://www.timeshighereducation.com/world-university-rankings/university-california-santa-cruz,United States,19457,23.8,0.12,49 : 51,2021
